GEOID,sovi,rank,fema_region
g08041,1.1715668062830216,78.0,FEMA_8
g08043,4.070723353673687,23.0,FEMA_8
g08045,-0.8535678894308616,171.0,FEMA_8
g08047,-2.727437601451418,245.0,FEMA_8
g08049,-2.1712675972611777,232.0,FEMA_8
g08051,-4.159016414608917,279.0,FEMA_8
g08053,5.609585773442695,12.0,FEMA_8
g08055,8.643805492936995,3.0,FEMA_8
g08057,0.7407715595457163,97.0,FEMA_8
g08059,0.21001259328713306,120.0,FEMA_8
g08061,0.3589934359261727,114.0,FEMA_8
g08063,-0.6511709095076688,164.0,FEMA_8
g08065,0.13375818147811724,126.0,FEMA_8
g08067,-1.2966504342901308,190.0,FEMA_8
g08069,-1.5229696085843254,202.0,FEMA_8
g08071,4.007205924866004,25.0,FEMA_8
g08073,5.560382259913093,13.0,FEMA_8
g08075,-1.5480474900708043,203.0,FEMA_8
g08077,0.17708796566537277,121.0,FEMA_8
g08079,6.7303898785942335,5.0,FEMA_8
g08081,-0.41510284922366214,151.0,FEMA_8
g08083,1.807673897005593,59.0,FEMA_8
g08085,2.8560658341242258,44.0,FEMA_8
g08087,3.1063800932142973,39.0,FEMA_8
g08089,6.002197466653934,9.0,FEMA_8
g08091,1.1602218574126866,79.0,FEMA_8
g08093,-0.8831243910717261,173.0,FEMA_8
g08095,3.210574424225145,36.0,FEMA_8
g08097,-3.0068613359045364,256.0,FEMA_8
g08099,3.357348658804017,33.0,FEMA_8
g08101,5.048359047313983,15.0,FEMA_8
g08103,-3.1708837058446657,260.0,FEMA_8
g08105,5.865195551752432,10.0,FEMA_8
g08107,-3.9378255240502833,272.0,FEMA_8
g08109,4.568868677705089,20.0,FEMA_8
g08111,-4.589715781690621,286.0,FEMA_8
g08113,-4.2210270522612054,280.0,FEMA_8
g08115,3.2697800530304053,34.0,FEMA_8
g08117,-2.8960795772388437,251.0,FEMA_8
g08119,0.9014046968924152,90.0,FEMA_8
g08121,-0.63722392081186,162.0,FEMA_8
g08123,0.06698486874254628,130.0,FEMA_8
g08125,0.36741921527952925,112.0,FEMA_8
g09001,0.3986962797275232,25.0,FEMA_1
g09003,0.7003324975116356,21.0,FEMA_1
g09005,-0.0969667275334196,35.0,FEMA_1
g09007,-0.0639412847991241,34.0,FEMA_1
g09009,0.20577578931628723,29.0,FEMA_1
g09011,-0.04611272006230878,33.0,FEMA_1
g09013,-0.2180372754650831,36.0,FEMA_1
g09015,0.27242178379593773,28.0,FEMA_1
g10001,-0.06567963942516129,144.0,FEMA_3
g10003,-0.18419611851840018,151.0,FEMA_3
g10005,0.5874297513557465,96.0,FEMA_3
g11001,-0.09258005726647324,146.0,FEMA_3
g12001,-0.7737923237990468,464.0,FEMA_4
g12003,-0.8783917360576189,481.0,FEMA_4
g12005,0.24688544928442058,319.0,FEMA_4
g12007,2.633320382981803,91.0,FEMA_4
g12009,0.1979434217084198,326.0,FEMA_4
g12011,1.9479238845670435,134.0,FEMA_4
g12013,5.026970620503112,24.0,FEMA_4
g12015,4.154173922626895,40.0,FEMA_4
g12017,4.587493897581117,28.0,FEMA_4
g12019,-3.7409635677464665,692.0,FEMA_4
g12021,4.198640240345621,37.0,FEMA_4
g12023,0.908556108148468,238.0,FEMA_4
g12027,7.086659944159829,10.0,FEMA_4
g12029,2.0970931495920744,126.0,FEMA_4
g12031,-0.8700766554422096,480.0,FEMA_4
g12033,0.4451954191821261,290.0,FEMA_4
g12035,1.4868584596871612,171.0,FEMA_4
g12037,6.163547514796715,19.0,FEMA_4
g12039,2.0728195802986873,130.0,FEMA_4
g12041,0.7586302732323523,257.0,FEMA_4
g12043,9.372657506338445,4.0,FEMA_4
g12045,4.324439609387352,33.0,FEMA_4
g12047,4.300023928960099,34.0,FEMA_4
g12049,5.865032850981584,22.0,FEMA_4
g12051,7.617364223554938,9.0,FEMA_4
g12053,1.7837031591189283,146.0,FEMA_4
g12055,6.467075917018254,16.0,FEMA_4
g12057,0.8067250764856031,251.0,FEMA_4
g12059,1.3908898680897237,180.0,FEMA_4
g12061,2.585892853222558,95.0,FEMA_4
g12063,3.763863312907572,46.0,FEMA_4
g12065,2.1075338586084214,124.0,FEMA_4
g12067,2.348859371171686,114.0,FEMA_4
g12069,1.756977440784607,147.0,FEMA_4
g12071,3.82252188438029,45.0,FEMA_4
