,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
QFEMLBR,0.024755574726303898,0.03673870041714711,0.019551105644759374,0.012550263230479733,0.007281340508072026,0.003347708142755889,0.034565608477075196,-0.0013318451120560883,0.0504461031613601,0.02740577349019995,0.03821160117486321,0.3031860428103953,0.4489634147526407,-0.19030668377365842,-0.30497830113412017,-0.19543435277504895,0.12970226127044626,0.5401937060606424,0.39722529694064296,-0.4317643399828295,0.3646251050671373
QEXTRCT_ALT,0.01773977198168674,0.016929123222972763,0.02968723395431689,0.002766618059950555,0.03296749414316394,0.026360202111085314,-0.008432685128800639,0.006999899005218765,0.008748240780739066,-0.021918787316000807,0.019795753602389627,0.223876564653461,0.033279540345768036,0.5137276544782904,0.5079323941878441,0.38760250106698235,0.004591095034364168,0.10819909999934138,0.15197983714632637,0.8928363610481453,0.09131543858711627
QSERV_ALT,0.03727678812322677,0.022997729790189596,0.04026887397148045,0.056629385989747205,0.038538124697716995,0.013173045021579394,0.06128876095386856,0.028108615865461397,0.019964549504527383,0.03151308470782594,0.03894079066878926,-0.09710109833106884,-0.01949988083877066,0.23093423110086303,0.09985335805623419,0.3173055103333625,0.388272990026855,0.2563038625028919,0.24144073679722086,0.31696868914605597,0.16270794719968557
QSSBEN,0.04885592830428626,0.04380619016247903,0.029624130608929947,0.027204970408295472,0.04075507375224039,0.04521059630411607,0.043362762047846774,0.029848715793271585,0.0600598830262073,0.05547175076073722,0.03824718241550673,0.499882991837604,0.31315043099475687,0.24199080119394864,0.2342597932967569,0.177065347531087,0.26479463575761336,0.23799601090167488,0.3631364546091054,0.26186922137679686,0.1680811719161327
QNOAUTO_ALT,0.030455933216784414,0.03911117713894496,0.039350121944078685,0.009905511492136905,0.03816425792248188,0.059905465478707676,0.0236705831556961,0.045330856718919725,0.05059343596151587,0.06115744037630254,0.017819860361042147,0.000771823070879564,0.21394226418042073,0.31006623681791423,0.3130868965291339,0.13754109524657074,0.4485935157594436,0.06881838714135374,0.01536437791074241,0.4726696872830131,0.21739344446739284
QFAM,0.030475642667252927,0.0499865751258298,0.040542032472894875,0.039967334303825305,0.03211448823341315,0.04128639325439212,0.014209126831562889,0.0491429584841895,0.0349263878544961,0.05330551971226652,0.04353144840555251,0.0480774582146129,0.5428711497786978,0.09949743106396275,0.08397016141726082,0.07126822548104281,0.4452448996917248,0.48627787726794797,0.28037392647600556,0.051502819860044666,0.5493295939917007
QRICH200K,0.02493647347881816,0.011313710970969995,0.03500955351007349,0.03194684143296766,0.027462410248179393,0.011497327405149079,0.02211384955077251,0.024447737899770727,0.0012245730386966276,0.003135714815530631,0.02707791042101978,-0.16093275957907568,0.21689951164037466,-0.04251741815308462,-0.30455882573692006,0.044181853276832855,0.15578135334948937,0.04856943278385377,0.5469086904791796,-0.14867650744164618,0.17198088030982056
MDGRENT_ALT,0.02922797896449551,0.021670657061643662,0.03515408697625262,0.012041031733912442,0.02094843631968109,0.025809447514800014,0.03319948913048408,0.04467493100015141,0.009478418982474151,0.020105226238281496,0.020317562438851074,0.20058027500012302,0.29618842087633473,0.08240083012365672,0.2981098799328733,0.2755988307365316,0.35197739176860254,0.17655811862669202,0.14653256890642702,0.06723880587402002,0.061954643734430714
MHSEVAL_ALT,0.02392285702073002,0.018338017450624647,0.011133331400267468,0.026982244766037108,0.025796884394559606,0.02216393444185546,0.02388531126485571,0.063493480300027,0.008883411482628445,-0.010113680908249972,0.02039643671780946,0.1063842663609955,0.1177411424156008,0.08894304040774864,0.036442957908505075,0.15302431108859638,0.3381032931204965,0.27358517634482543,0.09471318367503431,-0.15887243553089844,0.31511086006425715
POPDENS,0.014376016934179319,0.027521304083724794,0.03659705032207263,-0.0005156523244508118,0.0038629168445376534,0.040498169185128094,0.013255786093153817,0.017802340962203123,0.05452267339769219,0.02760535226856056,-0.04289072674296103,-0.193956992153424,0.16692370833336048,0.30670535819163663,0.23136030932413687,0.1251407923156427,0.32069059125889926,0.08296534384702214,0.20873925133317647,0.41155523241692543,0.17531287185765765
