GEOID,sovi,rank
g08089,5.417637446731272,108.0
g08091,-2.220916450746401,2557.0
g08093,-5.9092263296310295,3078.0
g08095,3.315296906327709,282.0
g08097,-6.493325281126339,3103.0
g08099,2.8556413869185397,354.0
g08101,3.352495020206681,276.0
g08103,-2.5227667452466607,2631.0
g08105,3.8435897646299435,217.0
g08107,-6.974183375582338,3113.0
g08109,1.3819416910426605,859.0
g08111,-5.82837687358986,3074.0
g08113,-7.092837091322307,3116.0
g08115,4.254722849405707,166.0
g08117,-6.1479255880326855,3091.0
g08119,-2.8933999777944894,2732.0
g08121,-1.602470776566429,2362.0
g08123,-2.6363197283845015,2668.0
g08125,0.028848547170236327,1565.0
g09001,-4.068935814824605,2945.0
g09003,-0.14968190407089677,1667.0
g09005,-2.8442548911026,2722.0
g09007,-3.664560561572712,2883.0
g09009,0.03653769904123916,1562.0
g09011,-1.4094593679855012,2289.0
g09013,-5.637123608202666,3061.0
g09015,-0.5010801856776346,1871.0
g10001,-0.6763455291586372,1956.0
g10003,-2.299719591228922,2574.0
g10005,1.8249795065643535,659.0
g11001,0.18977157417092982,1470.0
g12001,-1.5751378488615766,2352.0
g12003,-2.812398560575607,2712.0
g12005,-0.3798157414915849,1804.0
g12007,-1.615304216756209,2368.0
g12009,0.47934587220194114,1321.0
g12011,0.8513088502519681,1111.0
g12013,2.26785718546315,499.0
g12015,5.434099518588005,106.0
g12017,5.592642913483207,98.0
g12019,-3.2209285155769436,2806.0
g12021,3.980121915388376,196.0
g12023,-0.8245202453638549,2031.0
g12027,1.705311065851134,718.0
g12029,0.48620856848643257,1315.0
g12031,-1.033788868989745,2116.0
g12033,0.5686242338615951,1262.0
g12035,3.155579635805725,309.0
g12037,0.6608735512264552,1214.0
g12039,1.7246500123323787,705.0
g12041,-2.0297064164887337,2501.0
g12043,4.352484262047475,155.0
g12045,-1.025981063819323,2113.0
g12047,-2.1452385677031636,2537.0
g12049,2.0552882186965182,569.0
g12051,2.598417550804763,417.0
g12053,3.3672459482449884,271.0
g12055,6.572563094379992,65.0
g12057,-0.27330429765521036,1745.0
g12059,-0.7362490344065948,1991.0
g12061,3.83928231137582,219.0
g12063,0.1897831594073811,1469.0
g12065,-0.6227428404353625,1936.0
g12067,-2.409620892189978,2605.0
g12069,2.21653783757336,517.0
g12071,3.5021520450619184,256.0
g12073,-2.4321040193610655,2609.0
g12075,1.7068326211187048,716.0
g12077,-6.116523743425642,3089.0
g12079,-0.040331249300937344,1599.0
g12081,2.3995046384538146,456.0
g12083,4.053030903262757,185.0
g12085,1.8532438823635329,647.0
g12086,6.245311180754683,73.0
g12087,-1.5695726493217148,2350.0
g12089,-2.434588341354731,2610.0
g12091,-1.4130072240541776,2292.0
g12093,2.495215594656837,437.0
g12095,-0.11057682799978974,1643.0
g12097,3.779628723752014,224.0
g12099,2.255980100345927,505.0
g12101,1.093972669654457,990.0
g12103,1.9967842710473145,589.0
g12105,1.779416116260624,685.0
g12107,1.9751026391057616,598.0
g12109,-3.42927911068897,2847.0
g12111,3.041666470439612,322.0
g12113,-3.7919897699926635,2907.0
g12115,4.654007763574764,140.0
g12117,-2.2807613451795334,2569.0
g12119,6.528755574252165,67.0
g12121,0.4351409531452193,1347.0
g12123,-0.6981505595923732,1970.0
g12125,-4.0536222398730635,2942.0
g12127,2.3986749436255583,457.0
g12129,-5.1844031122416565,3034.0
g12131,-0.09772926459951858,1633.0
g12133,-0.5571290690713571,1901.0
g13001,-2.5470877043885407,2641.0
g13003,0.03663663938358308,1561.0
g13005,-0.6270416597846371,1937.0
g13007,4.215315580258443,169.0
g13009,1.5268774276103203,800.0
g13011,-4.348244128665497,2965.0
g13013,-3.328722343283701,2830.0
g13015,-2.2747780355244904,2567.0
g13017,3.247670979775891,296.0
g13019,-1.042252294400598,2125.0
g13021,2.089665956321944,554.0
g13023,0.8057749914844825,1134.0
g13025,-1.7746769933980335,2421.0
g13027,0.8960075111684664,1078.0
g13029,-4.447278220953003,2975.0
g13031,-2.068843803243905,2516.0
g13033,2.2641421229667746,502.0
g13035,-3.1245088305198387,2787.0
g13037,-0.10556585958927478,1639.0
g13039,-3.118897067594819,2785.0
g13043,1.8086740150253677,672.0
g13045,-2.0818946042094426,2518.0
g13047,-1.513812971485988,2333.0
g13049,-2.912278386053984,2737.0
g13051,-0.2419386049392176,1722.0
g13053,-7.930372270791178,3127.0
g13055,-1.1229552346966913,2167.0
g13057,-5.069211853463919,3024.0
g13059,0.5523540728774781,1276.0
g13061,7.766119001557026,44.0
g13063,0.6690799324333097,1208.0
g13065,3.299565469591885,286.0
g13067,-4.289177194173899,2960.0
g13069,-1.7672144915623647,2418.0
g13071,0.6068077611923188,1237.0
g13073,-5.128246380348326,3029.0
g13075,-0.295430714368074,1755.0
g13077,-4.049500361456411,2939.0
g13079,-2.5088205936090047,2629.0
g13081,2.8200106057197036,367.0
g13083,-2.082879803425932,2519.0
g13085,-3.3826706319178967,2840.0
g13087,2.204371643200287,521.0
g13089,-1.4258661889912014,2300.0
g13091,-1.5070802238636494,2330.0
g13093,-1.56536737949754,2347.0
g13095,3.2557234222601776,295.0
g13097,-3.5946816970087285,2869.0
g13099,2.841962011267637,360.0
g13101,1.9074431549898287,628.0
g13103,-5.422281265534963,3051.0
g13105,2.833388666243315,365.0
g13107,1.4175232714331683,840.0
g13109,-0.5010366065137466,1870.0
g13111,1.8664969472080974,640.0
g13113,-5.839628231542772,3076.0
g13115,1.1676193801233783,951.0
g13117,-6.983423611376658,3114.0
g13119,-0.04732195068385425,1605.0
g13121,-3.839571469622555,2915.0
g13123,0.18659969845271562,1473.0
g13125,-0.5266421389304434,1887.0
g13127,1.3242361612323796,885.0
g13129,-1.1910368734759094,2201.0
g13131,-0.2127959908792687,1703.0
g13133,1.987565966978266,592.0
g13135,-3.609166598233022,2873.0
g13137,0.05414010760614518,1552.0
g13139,-1.1739367617003647,2191.0
g13141,3.360074229944266,275.0
g13143,-0.593454734657983,1917.0
g13145,-5.927303990931783,3080.0
g13147,1.0438102708625192,1012.0
g13149,-1.611949451857707,2363.0
g13151,-3.735274805325168,2895.0
g13153,-2.5584812212358607,2645.0
g13155,-0.889883173472853,2064.0
g13157,-3.3263427260624634,2828.0
g13159,-1.561784237854212,2346.0
g13161,-1.9306225725078638,2471.0
g13163,2.872825144517189,352.0
g13165,2.7242827802485343,390.0
g13167,-1.9059409383508403,2465.0
g13169,-2.5734163484690633,2647.0
g13171,-0.7583182165797968,2001.0
g13173,0.30686845132305995,1416.0
g13175,1.0995516341639517,985.0
g13177,-6.26957838491784,3097.0
g13179,-2.490277681122639,2626.0
g13181,2.7294993722432412,389.0
g13183,-0.6711032997168682,1952.0
g13185,-0.8185484083081696,2027.0
g13187,-2.196876232510548,2552.0
g13189,0.5839430851049727,1250.0
g13191,1.9186111360256743,623.0
g13193,-0.5541416643000074,1900.0
g13195,-1.2886304548113048,2253.0
g13197,0.08917451770369178,1531.0
g13199,0.8803259544278782,1091.0
g13201,1.3586627529846629,868.0
g13205,-0.09706031571029605,1631.0
g13207,-2.728675135894674,2693.0
g13209,-2.5751309807521916,2648.0
g13211,-1.0683852053784662,2139.0
g13213,-2.1579807097265378,2541.0
g13215,1.5424512838680968,792.0
g13217,-1.6641428552865871,2385.0
g13219,-5.462215385796417,3054.0
g13221,-3.330480566667868,2831.0
g13223,-4.59358751844127,2989.0
g13225,-1.2880064102669673,2251.0
g13227,-2.45199981138078,2614.0
g13229,-0.16538172256732286,1678.0
g13231,-3.398814620933731,2843.0
g13233,0.5652772610060565,1266.0
g13235,4.606053413025679,142.0
g13237,0.5185354247644152,1291.0
g13239,1.640226230410451,748.0
g13241,2.5691498658868928,423.0
g13243,1.8598243693901215,644.0
g13245,1.7847611659221803,683.0
g13247,-1.2455104940206543,2232.0
g13249,-3.3674061560593724,2836.0
g13251,0.9567098429090202,1049.0
g13253,3.5872337678473762,245.0
g13255,0.8621086481708642,1102.0
g13257,1.7018336135984895,722.0
g13259,-0.585580669787646,1914.0
g13261,3.0851657608800718,315.0
g13263,1.7559198528317301,695.0
g13265,6.072443459789454,82.0
g13267,-2.9945235419278395,2752.0
g13269,1.395502386817041,855.0
g13271,1.6811076090834245,730.0
g13273,3.75521568789556,228.0
g13275,1.288407295257641,899.0
g13277,0.5971253334686236,1243.0
g13279,2.0668009722913867,563.0
g13281,3.935302851276525,200.0
g13283,-0.09139775362341229,1630.0
g13285,0.8004469512552173,1138.0
g13287,2.0259676674462352,583.0
g13289,-1.1990781403297124,2209.0
g13291,3.5210406091400976,252.0
g13293,2.606099511930714,416.0
g13295,-0.8251159532420401,2032.0
g13297,-2.197635108919354,2553.0
g13299,1.1420953400174145,967.0
g13301,3.2650305685405736,291.0
g13303,0.6631355284875877,1212.0
g13305,-1.9493593172469321,2476.0
