GEOID,sovi,rank,state_id
g13045,-2.705616547573841,133.0,g13
g13047,-3.663927942497011,146.0,g13
g13049,1.26479006483017,43.0,g13
g13051,-1.895791601893809,122.0,g13
g13053,-7.384389858153986,159.0,g13
g13055,0.9865671331320935,56.0,g13
g13057,-3.705435792620379,147.0,g13
g13059,-0.00015080348265483767,83.0,g13
g13061,6.825416614375,3.0,g13
g13063,-0.8915743242581659,105.0,g13
g13065,0.7102945439174375,66.0,g13
g13067,-0.6871729417692258,98.0,g13
g13069,0.8769025404669728,57.0,g13
g13071,2.78746523173629,16.0,g13
g13073,-3.22620655739049,143.0,g13
g13075,-0.15540990559000706,90.0,g13
g13077,-2.9780270217246487,138.0,g13
g13079,-3.1408271716718295,141.0,g13
g13081,0.12564390576809828,79.0,g13
g13083,-2.1211043043313995,126.0,g13
g13085,-2.322325774300339,130.0,g13
g13087,0.29666606575478527,74.0,g13
g13089,0.6599082631699871,67.0,g13
g13091,1.1071408703916954,49.0,g13
g13093,3.5464170334111547,12.0,g13
g13095,-1.4190182819016293,115.0,g13
g13097,-4.128428889872511,149.0,g13
g13099,1.7113774017154442,31.0,g13
g13101,5.3361425024832165,6.0,g13
g13103,-5.386768214896628,157.0,g13
g13105,0.24184645195412524,77.0,g13
g13107,1.0119426670022411,55.0,g13
g13109,1.253480030568174,44.0,g13
g13111,-0.7823399295367506,100.0,g13
g13113,-2.4499400745965225,131.0,g13
g13115,-0.24355940239202495,91.0,g13
g13117,-1.903074425701427,123.0,g13
g13119,0.855822376920376,58.0,g13
g13121,1.2027109716999962,46.0,g13
g13123,1.8431016253023496,29.0,g13
g13125,2.6369260111273487,19.0,g13
g13127,-0.9369889126645186,108.0,g13
g13129,-0.0940901969647619,87.0,g13
g13131,0.7272010645994551,65.0,g13
g13133,2.658267168677065,18.0,g13
g13135,0.7895147813225236,62.0,g13
g13137,0.27953964389371416,76.0,g13
g13139,1.369652568022248,39.0,g13
g13141,4.516448036460602,9.0,g13
g13143,-1.0540853019348178,111.0,g13
g13145,-3.287586885202575,144.0,g13
g13147,1.0427415079953342,53.0,g13
g13149,-0.938979531502796,109.0,g13
g13151,-4.493352827064979,153.0,g13
g13153,-2.7896800659202245,136.0,g13
g13155,1.2430760832222578,45.0,g13
g13157,-1.9423110242562427,124.0,g13
g13159,-2.470265729601211,132.0,g13
g13161,0.8261066391701066,61.0,g13
g13163,1.1007317136150836,50.0,g13
g13165,1.7947735061739332,30.0,g13
g13167,2.914400167330369,15.0,g13
g13169,-2.7693547125531364,135.0,g13
g13171,-1.7187578882517671,118.0,g13
g13173,-0.853888374499486,102.0,g13
g13175,-0.122275204166028,89.0,g13
g13177,-3.853515921955811,148.0,g13
g13179,-4.433820454301729,152.0,g13
g13181,0.845970691785003,60.0,g13
g13183,-4.340930166013168,150.0,g13
g13185,-3.029867433732339,139.0,g13
g13187,-3.540049947652601,145.0,g13
g13189,-0.8119919343952055,101.0,g13
g13191,-1.8401860001741417,121.0,g13
g13193,3.2644431144989463,13.0,g13
g13195,-1.5035190132035003,117.0,g13
g13197,3.204383972571904,14.0,g13
g13199,-0.9369105637065037,107.0,g13
g13201,2.177563671966741,21.0,g13
g13205,2.1234198427033686,23.0,g13
g13207,-1.5032641167337157,116.0,g13
g13209,1.377649787775626,38.0,g13
g13211,-1.1169474875899068,112.0,g13
g13213,-0.31693781322020287,92.0,g13
g13215,-1.7194941910183834,119.0,g13
g13217,-4.810467218550362,155.0,g13
g13219,-2.163073754970563,127.0,g13
g13221,-0.7792764427455787,99.0,g13
g13223,-5.698626691904426,158.0,g13
